♻️央视频道,#genre#
内蒙古卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NEIMENGGU/1.m3u8?m3u8_level=2
江西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JIANGXI-CQ/1.m3u8?m3u8_level=2
广西卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GUANGXI-HQ/1.m3u8?m3u8_level=2
西藏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XIZANG/1.m3u8?m3u8_level=2
四川卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SICHUAN-CQ/1.m3u8?m3u8_level=2
兵团卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_BINGTUAN/1.m3u8?m3u8_level=2
甘肃卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GANSU-HQ/1.m3u8?m3u8_level=2
新疆卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_XINJIANG/1.m3u8?m3u8_level=2
宁夏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NINGXIA/1.m3u8?m3u8_level=2
三沙卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SANSHA-HQ/1.m3u8?m3u8_level=2
吉林卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JILIN-CQ/1.m3u8?m3u8_level=2
大湾区卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_NANFANG/1.m3u8?m3u8_level=2
